Config 1/10: hidden=256, lr=0.001, wd=0.0001, batch=32
Epoch 19 | train loss 0.0301, acc 98.92% | val loss 0.1936, acc 94.22%, F1 0.9490
Epoch 20 | train loss 0.0292, acc 98.99% | val loss 0.1932, acc 94.54%, F1 0.9514
Epoch 21 | train loss 0.0253, acc 99.29% | val loss 0.2173, acc 94.50%, F1 0.9519
Epoch 22 | train loss 0.0388, acc 98.99% | val loss 0.3011, acc 91.79%, F1 0.9299
Epoch 23 | train loss 0.0619, acc 98.13% | val loss 0.2243, acc 93.49%, F1 0.9416
Epoch 24 | train loss 0.0305, acc 98.93% | val loss 0.1896, acc 94.63%, F1 0.9525
Epoch 25 | train loss 0.0158, acc 99.53% | val loss 0.1902, acc 95.09%, F1 0.9566
Epoch 26 | train loss 0.0110, acc 99.75% | val loss 0.1848, acc 95.05%, F1 0.9563
Epoch 27 | train loss 0.0217, acc 99.35% | val loss 0.2304, acc 93.99%, F1 0.9457
Epoch 28 | train loss 0.0254, acc 99.12% | val loss 0.2327, acc 94.54%, F1 0.9525
Epoch 29 | train loss 0.0317, acc 98.97% | val loss 0.3072, acc 92.98%, F1 0.9381
Epoch 30 | train loss 0.0262, acc 99.17% | val loss 0.2073, acc 95.37%, F1 0.9589
Validation F1 for this config: 0.9589

############################################################
Config 8/10: hidden=512, lr=0.0001, wd=0.0001, batch=64

Training with: hidden=512, lr=0.0001, wd=0.0001, batch=64
Epoch 01 | train loss 0.4027, acc 81.14% | val loss 0.2897, acc 88.72%, F1 0.8967
Epoch 02 | train loss 0.2430, acc 90.28% | val loss 0.2521, acc 89.59%, F1 0.9075
Epoch 03 | train loss 0.1967, acc 92.47% | val loss 0.2400, acc 89.63%, F1 0.9096
Epoch 04 | train loss 0.1688, acc 93.38% | val loss 0.2161, acc 91.10%, F1 0.9222
Epoch 05 | train loss 0.1423, acc 94.65% | val loss 0.2213, acc 90.73%, F1 0.9194
Epoch 06 | train loss 0.1346, acc 94.56% | val loss 0.1905, acc 92.75%, F1 0.9356
Epoch 07 | train loss 0.1221, acc 95.24% | val loss 0.1920, acc 92.43%, F1 0.9319
Epoch 08 | train loss 0.0980, acc 96.54% | val loss 0.1790, acc 93.76%, F1 0.9455
Epoch 09 | train loss 0.1014, acc 96.18% | val loss 0.1711, acc 93.85%, F1 0.9460
Epoch 10 | train loss 0.0825, acc 97.26% | val loss 0.1718, acc 93.81%, F1 0.9452
Epoch 11 | train loss 0.0790, acc 97.16% | val loss 0.1730, acc 93.07%, F1 0.9398
Epoch 12 | train loss 0.0626, acc 97.90% | val loss 0.1758, acc 93.26%, F1 0.9416
Epoch 13 | train loss 0.0657, acc 97.80% | val loss 0.1724, acc 93.58%, F1 0.9443
Epoch 14 | train loss 0.0541, acc 98.21% | val loss 0.1541, acc 94.63%, F1 0.9527
Epoch 15 | train loss 0.0461, acc 98.59% | val loss 0.1509, acc 94.50%, F1 0.9514
Epoch 16 | train loss 0.0477, acc 98.53% | val loss 0.1828, acc 93.67%, F1 0.9421
Epoch 17 | train loss 0.0387, acc 98.81% | val loss 0.1535, acc 94.77%, F1 0.9536
Epoch 18 | train loss 0.0337, acc 99.15% | val loss 0.1582, acc 94.31%, F1 0.9505
Epoch 19 | train loss 0.0273, acc 99.28% | val loss 0.1550, acc 94.72%, F1 0.9530
Epoch 20 | train loss 0.0345, acc 98.92% | val loss 0.1570, acc 94.54%, F1 0.9518
Epoch 21 | train loss 0.0452, acc 98.44% | val loss 0.1803, acc 94.17%, F1 0.9480
Epoch 22 | train loss 0.0268, acc 99.30% | val loss 0.1757, acc 94.36%, F1 0.9507
Epoch 23 | train loss 0.0310, acc 99.35% | val loss 0.1806, acc 94.04%, F1 0.9475
Epoch 24 | train loss 0.0221, acc 99.51% | val loss 0.1782, acc 94.50%, F1 0.9517
Epoch 25 | train loss 0.0170, acc 99.70% | val loss 0.1684, acc 94.40%, F1 0.9509
Epoch 26 | train loss 0.0140, acc 99.75% | val loss 0.1511, acc 95.14%, F1 0.9568
Epoch 27 | train loss 0.0138, acc 99.74% | val loss 0.1603, acc 94.91%, F1 0.9552
Epoch 28 | train loss 0.0102, acc 99.83% | val loss 0.1614, acc 94.95%, F1 0.9555
Epoch 29 | train loss 0.0089, acc 99.90% | val loss 0.1636, acc 95.00%, F1 0.9562
Epoch 30 | train loss 0.0088, acc 99.93% | val loss 0.1601, acc 95.09%, F1 0.9571
Validation F1 for this config: 0.9571

############################################################
Config 9/10: hidden=256, lr=0.0001, wd=0.0001, batch=16

Training with: hidden=256, lr=0.0001, wd=0.0001, batch=16
